question_id,question_title,answer,answer.1,answer.2,answer.3,region,topic,difficulty
16,Which commission was set up to investigate the Babri Masjid demolition?,Liberhan Commission,Nanavati Commission,Shah Commission,Verma Commission,India,Politics;History;,Hard
17,Which political party does Arvind Kejriwal belong to?,Aam Aadmi Party,Bharatiya Janata Party,Indian National Congress,Samajwadi Party,India,Politics;History;,Easy
18,Who appoints the judges of the Supreme Court of India?,The President of India,The Prime Minister,The Chief Justice of India,The Law Minister,India,Politics;,Medium
19,Which Indian state was created in 2000 along with Uttarakhand and Jharkhand?,Chhattisgarh,Telangana,Mizoram,Sikkim,India,Politics;History;,Medium
20,Which political leader is known for the 'Operation Blue Star'?,Indira Gandhi,Rajiv Gandhi,Lal Bahadur Shastri,Manmohan Singh,India,Politics;History;,Medium
21,Who was the founder of the Maurya Dynasty?,Chandragupta Maurya,Ashoka,Bindusara,Harsha,India,History;FreedomMovement;,Easy
22,When did the Battle of Plassey take place?,1757,1764,1857,1775,India,History;FreedomMovement;,Easy
23,Which Indian freedom fighter is known as the 'Iron Man of India'?,Sardar Vallabhbhai Patel,Bhagat Singh,Subhas Chandra Bose,Jawaharlal Nehru,India,History;FreedomMovement;,Easy
24,Who was the Mughal emperor during the First Battle of Panipat?,Babur,Akbar,Aurangzeb,Shah Jahan,India,History;,Medium
25,What is the ancient name of Patna?,Pataliputra,Prayag,Vaishali,Hastinapur,India,History;,Easy
26,Which Indian king fought against Alexander the Great?,King Porus,Ashoka,Chandragupta Maurya,Raja Raja Chola,India,History;,Easy
27,Who was the last Viceroy of British India?,Lord Mountbatten,Lord Wavell,Lord Linlithgow,Lord Irwin,India,History;,Medium
28,Who established the All India Muslim League?,Nawab Khwaja Salimullah,Sir Syed Ahmed Khan,Maulana Abul Kalam Azad,Muhammad Ali Jinnah,India,History;,Medium
29,Who led the Dandi March?,Mahatma Gandhi,Sardar Patel,Jawaharlal Nehru,Subhas Chandra Bose,India,History;,Easy
30,Which Indian ruler is known for his rock-cut caves and pillars?,Ashoka,Harsha,Kanishka,Samudragupta,India,History;,Medium
31,Who was the founder of the Sikh Empire?,Maharaja Ranjit Singh,Guru Gobind Singh,Guru Nanak,Guru Arjan Dev,India,History;,Medium
32,When was the Quit India Movement launched?,1942,1930,1947,1919,India,History;,Easy
33,Who was the first Indian woman to become the President of the Indian National Congress?,Annie Besant,Sarojini Naidu,Indira Gandhi,Sucheta Kriplani,India,History;,Medium
34,What is the original name of Swami Vivekananda?,Narendra Nath Datta,Subhas Chandra Bose,Bhimrao Ambedkar,Mohandas Karamchand Gandhi,India,History;,Medium
35,Who was the first Indian to win a Nobel Prize?,Rabindranath Tagore,C.V. Raman,Amartya Sen,Mother Teresa,India,History;,Medium
36,When did India adopt its Constitution?,26 January 1950,15 August 1947,1 January 1950,26 January 1949,India,History;,Easy
37,Who is known as the 'Father of Indian Renaissance'?,Raja Ram Mohan Roy,Bal Gangadhar Tilak,Dadabhai Naoroji,Rabindranath Tagore,India,History;,Medium
38,Who was the first Indian Governor-General of independent India?,C. Rajagopalachari,Dr. Rajendra Prasad,Jawaharlal Nehru,Sardar Patel,India,History;,Hard
39,Who founded the Indian National Army (INA)?,Subhas Chandra Bose,Mahatma Gandhi,Bhagat Singh,Jawaharlal Nehru,India,History;,Medium
40,Who is known as the 'Shahenshah' of Bollywood?,Amitabh Bachchan,Shah Rukh Khan,Salman Khan,Dharmendra,India,Bollywood;Movies;Cinema;,Easy
41,"Which Bollywood film features the song ""Kabhi Kabhi Mere Dil Mein""?",Kabhi Kabhie,Silsila,Muqaddar Ka Sikandar,Deewaar,India,Bollywood;Movies;Cinema;,Easy
42,"Who directed the epic film ""Mughal-e-Azam""?",K. Asif,Guru Dutt,Raj Kapoor,Mehboob Khan,India,Bollywood;Movies;Cinema;,Medium
43,"Which actor played the character 'Vijay Dinanath Chauhan' in ""Agneepath""?",Amitabh Bachchan,Hrithik Roshan,Akshay Kumar,Sanjay Dutt,India,Bollywood;Movies;Cinema;,Easy
44,"Who was the lead actress in the film ""Mother India""?",Nargis,Madhubala,Meena Kumari,Nutan,India,Bollywood;Movies;Cinema;,Medium
45,Which Bollywood movie is based on the real-life story of wrestler Mahavir Singh Phogat?,Dangal,Sultan,Mary Kom,Chak De! India,India,Bollywood;Movies;Cinema;,Easy
46,Who is known as the 'Tragedy King' of Bollywood?,Dilip Kumar,Dev Anand,Rajesh Khanna,Raj Kapoor,India,Bollywood;Movies;Cinema;,Medium
47,"Which film features the famous dialogue ""Mere paas maa hai""?",Deewaar,Sholay,Amar Akbar Anthony,Zanjeer,India,Bollywood;Movies;Cinema;,Medium
48,"Who is the music director duo behind the soundtrack of ""Sholay""?",R.D. Burman,Laxmikant-Pyarelal,Jatin-Lalit,Nadeem-Shravan,India,Bollywood;Movies;Cinema;,Medium
49,"Who played the character of Bajirao in the film ""Bajirao Mastani""?",Ranveer Singh,Shahid Kapoor,Ranbir Kapoor,Hrithik Roshan,India,Bollywood;Movies;Cinema;,Medium
50,Which Bollywood film won the Best Foreign Language Film at the Academy Awards?,None,Lagaan,Mother India,Salaam Bombay!,India,Bollywood;Movies;Cinema;,Medium
51,What was the first Bollywood film to be released in theaters?,Raja Harishchandra,Alam Ara,Kisan Kanya,Sant Tukaram,India,Bollywood;Movies;Cinema;,Hard
52,"Who choreographed the iconic song ""Ek Do Teen"" from ""Tezaab""?",Saroj Khan,Farah Khan,Vaibhavi Merchant,Remo D'Souza,India,Bollywood;Movies;Cinema;,Medium
53,"Which actress made her Bollywood debut with the film ""Parineeta""?",Vidya Balan,Priyanka Chopra,Deepika Padukone,Anushka Sharma,India,Bollywood;Movies;Cinema;,Easy
54,"Which Bollywood director is known for the films ""Dilwale Dulhania Le Jayenge"" and ""Kuch Kuch Hota Hai""?",Karan Johar,Aditya Chopra,Yash Chopra,Sanjay Leela Bhansali,India,Bollywood;Movies;Cinema;,Easy
55,Which Bollywood actor is also known as the 'Khiladi'?,Akshay Kumar,Ajay Devgn,Suniel Shetty,John Abraham,India,Bollywood;Movies;Cinema;,Easy
56,Which film features the character 'Gabbar Singh'?,Sholay,Deewaar,Don,Zanjeer,India,Bollywood;Movies;Cinema;,Easy
57,Who was the first Indian actress to win an Oscar?,Bhanu Athaiya,Shabana Azmi,Priyanka Chopra,Smita Patil,India,Bollywood;Movies;Cinema;,Medium
58,"Which Bollywood film is famous for the song ""Chaiyya Chaiyya""?",Dil Se,Taal,Rangeela,Dilwale,India,Bollywood;Movies;Cinema;,Easy
59,"Who played the role of Munna Bhai in ""Munna Bhai M.B.B.S.""?",Sanjay Dutt,Salman Khan,Shah Rukh Khan,Aamir Khan,India,Bollywood;Movies;Cinema;,Easy
60,Which is the highest-grossing Bollywood film of all time?,Dangal,Baahubali 2,PK,Sultan,India,Bollywood;Movies;Cinema;,Medium
61,Who is known as the 'King of Bollywood'?,Shah Rukh Khan,Salman Khan,Aamir Khan,Amitabh Bachchan,India,Bollywood;Movies;Cinema;,Easy
62,Which Bollywood actor is known as 'Mr. Perfectionist'?,Aamir Khan,Hrithik Roshan,Shah Rukh Khan,Ranbir Kapoor,India,Bollywood;Movies;Cinema;,Easy
63,Who won the first Filmfare Award for Best Actor?,Dilip Kumar,Rajesh Khanna,Rajkumar,Raj Kapoor,India,Bollywood;Movies;Cinema;,Medium
64,What is the longest river in India?,Ganges,Brahmaputra,Godavari,Yamuna,India,Geography,Medium
65,Which is the largest state in India by area?,Rajasthan,Madhya Pradesh,Maharashtra,Uttar Pradesh,India,Geography,Hard
66,Which Indian state has the longest coastline?,Gujarat,Tamil Nadu,Andhra Pradesh,Maharashtra,India,Geography,Hard
67,What is the highest peak in India?,Kangchenjunga,Nanda Devi,K2,Kamet,India,Geography,Easy
68,Which river is known as the 'Sorrow of Bihar'?,Kosi River,Ganga,Yamuna,Gandak,India,Geography,Medium
69,What is the capital of the Andaman and Nicobar Islands?,Port Blair,Daman,Lakshadweep,Silvassa,India,Geography,Easy
70,Which lake is the largest saltwater lake in India?,Chilika Lake,Sambhar Lake,Pulicat Lake,Loktak Lake,India,Geography,Medium
71,What is the southernmost point of India called?,Indira Point,Kanyakumari,Cape Comorin,Kovalam,India,Geography,Hard
72,Which state in India is known as the 'Land of Five Rivers'?,Punjab,Haryana,Himachal Pradesh,Uttar Pradesh,India,Geography,Medium
73,Which is the largest desert in India?,Thar Desert,White Desert,Rann of Kutch,Ladakh Desert,India,Geography,Medium
74,What is the name of the mountain range that runs parallel to the western coast of India?,Western Ghats,Eastern Ghats,Aravalli Range,Satpura Range,India,Geography,Medium
75,"Which river forms the largest river island in the world, Majuli?",Brahmaputra River,Ganga,Godavari,Krishna,India,Geography,Hard
76,What is the main mineral found in the mines of Jharkhand?,Coal,Iron,Bauxite,Copper,India,Geography,Hard
77,Which plateau is known as the 'Deccan Plateau'?,Southern Plateau of India,Malwa Plateau,Chota Nagpur Plateau,Meghalaya Plateau,India,Geography,Easy
78,What is the capital of Lakshadweep?,Kavaratti,Agatti,Minicoy,Amini,India,Geography,Easy
79,Which river is considered the lifeline of Madhya Pradesh and Gujarat?,Narmada River,Tapti,Godavari,Krishna,India,Geography,Medium
80,Which Indian state is famous for its backwaters?,Kerala,Tamil Nadu,Karnataka,Andhra Pradesh,India,Geography,Easy
81,What is the name of the pass that connects Srinagar to Leh?,Zoji La Pass,Rohtang Pass,Nathu La Pass,Shipki La Pass,India,Geography,Hard
82,Which Indian state is the leading producer of coffee?,Karnataka,Kerala,Tamil Nadu,Andhra Pradesh,India,Geography,Medium
83,What is the smallest state in India by area?,Goa,Sikkim,Mizoram,Tripura,India,Geography,Easy
84,Who was the first Indian woman to win an Olympic medal?,Karnam Malleswari,Mary Kom,P.T. Usha,Saina Nehwal,India,Sports;,Medium
85,Which Indian cricketer is known as the 'Master Blaster'?,Sachin Tendulkar,Virat Kohli,Sunil Gavaskar,Kapil Dev,India,Sports;,Easy
86,Who was the first Indian to win the All England Badminton Championship?,Prakash Padukone,Pullela Gopichand,Saina Nehwal,Kidambi Srikanth,India,Sports;,Hard
87,In which sport did Dhyan Chand excel?,Hockey,Cricket,Football,Tennis,India,Sports;,Easy
88,Who is the first Indian to win an individual gold medal at the Olympics?,Abhinav Bindra,Milkha Singh,Vijender Singh,Leander Paes,India,Sports;,Hard
89,Which Indian state is known for the traditional sport of 'Kabaddi'?,Haryana,Punjab,Maharashtra,Tamil Nadu,India,Sports;,Medium
90,Which Indian chess player became the World Chess Champion in 2000?,Viswanathan Anand,P. Harikrishna,Nihal Sarin,Koneru Humpy,India,Sports;,Easy
91,Who is known as the 'Flying Sikh' of India?,Milkha Singh,P.T. Usha,Anju Bobby George,Bhaag Milkha,India,Sports;,Easy
92,Who was the first Indian woman to become World No. 1 in badminton?,Saina Nehwal,P.V. Sindhu,Ashwini Ponnappa,Jwala Gutta,India,Sports;,Easy
93,Which sport does Sunil Chhetri play?,Football,Cricket,Tennis,Hockey,India,Sports;,Easy
94,Who is the first Indian gymnast to qualify for the Olympics?,Dipa Karmakar,Ashish Kumar,Aruna Reddy,Deepak Karmakar,India,Sports;,Medium
95,Which Indian shooter has won the most gold medals in international competitions?,Jaspal Rana,Abhinav Bindra,Gagan Narang,Rajyavardhan Rathore,India,Sports;,Medium
96,Who won India's first individual Olympic medal in wrestling?,K.D. Jadhav,Sushil Kumar,Yogeshwar Dutt,Bajrang Punia,India,Sports;,Medium
97,Which Indian cricketer holds the record for the fastest century in ODIs?,Virat Kohli,Rohit Sharma,Kapil Dev,Mahendra Singh Dhoni,India,Sports;,Easy
98,Who was the first Indian to win a Grand Slam tennis tournament?,Mahesh Bhupathi,Leander Paes,Sania Mirza,Rohan Bopanna,India,Sports;,Medium
99,Which Indian athlete won a gold medal in the 800m race at the 2018 Asian Games?,Manjit Singh,Hima Das,Jinson Johnson,Dutee Chand,India,Sports;,Hard
100,Which Indian footballer holds the record for the most international goals scored?,Sunil Chhetri,Bhaichung Bhutia,I.M. Vijayan,Gurpreet Singh Sandhu,India,Sports;,Medium
101,Who is the first Indian woman to win a silver medal at the Olympics?,P.V. Sindhu,Mary Kom,Sakshi Malik,Karnam Malleswari,India,Sports;,Hard
102,Which Indian tennis player is known as the 'Leaping Indian'?,Leander Paes,Mahesh Bhupathi,Vijay Amritraj,Ramesh Krishnan,India,Sports;,Hard
103,Who is the only Indian athlete to win a World Championship gold medal in track and field?,Neeraj Chopra,Anju Bobby George,Milkha Singh,P.T. Usha,India,Sports;,Medium
104,Which Indian company is the largest steel producer in the world?,Tata Steel,JSW Steel,SAIL,Bhushan Steel,India,Industry;Economy;,Easy
105,What is the primary industry of Infosys?,IT Services,Pharmaceutical,Automobile,FMCG,India,Industry;Economy;,Easy
106,Which Indian city is known as the 'Silicon Valley of India'?,Bangalore,Hyderabad,Chennai,Pune,India,Industry;Economy;,Easy
107,Who is the founder of Reliance Industries?,Dhirubhai Ambani,Mukesh Ambani,Anil Ambani,Ratan Tata,India,Industry;Economy;,Easy
108,Which company owns the 'Royal Enfield' brand?,Eicher Motors,Bajaj Auto,TVS Motors,Hero MotoCorp,India,Industry;Economy;,Hard
109,Which is the largest IT services company in India by revenue?,Tata Consultancy Services (TCS),Wipro,Infosys,HCL Technologies,India,Industry;Economy;,Medium
110,Who is the CEO of HCL Technologies as of 2024?,C. Vijayakumar,Shiv Nadar,Arvind Krishna,Sundar Pichai,India,Industry;Economy;,Hard
111,Which Indian company is the leading manufacturer of wind turbines?,Suzlon,BHEL,L&T,Adani Green Energy,India,Industry;Economy;,Hard
112,What is the main business of Hindustan Unilever Limited (HUL)?,FMCG,Textiles,IT Services,Real Estate,India,Industry;Economy;,Hard
113,Which Indian conglomerate owns Jaguar and Land Rover?,Tata Group,Mahindra & Mahindra,Bajaj Group,Reliance Group,India,Industry;Economy;,Medium
114,Which company is the largest producer of cement in India?,UltraTech Cement,Ambuja Cement,ACC Cement,Shree Cement,India,Industry;Economy;,Hard
115,Which Indian company is the leading producer of pharmaceutical products?,Sun Pharmaceutical,Cipla,Dr. Reddy's Laboratories,Lupin,India,Industry;Economy;,Hard
116,Which Indian company is the largest exporter of software?,Tata Consultancy Services (TCS),Infosys,Wipro,HCL Technologies,India,Industry;Economy;,Medium
117,What is the flagship airline of India?,Air India,IndiGo,Vistara,SpiceJet,India,Industry;Economy;,Easy
118,Which Indian company is the largest private sector coal producer?,Adani Enterprises,Coal India,Reliance Power,Vedanta,India,Industry;Economy;,Medium
119,Which Indian company is known for its luxury hotels and hospitality?,The Taj Group,Oberoi Hotels,ITC Hotels,Marriott International,India,Industry;Economy;,Medium
120,Which Indian company is the largest mobile network operator by subscribers?,Reliance Jio,Airtel,Vodafone Idea,BSNL,India,Industry;Economy;,Easy
121,Who is the founder of the software giant Wipro?,Azim Premji,Narayana Murthy,Shiv Nadar,Nandan Nilekani,India,Industry;Economy;,Easy
122,Which Indian company is the largest two-wheeler manufacturer?,Hero MotoCorp,Bajaj Auto,TVS Motors,Royal Enfield,India,Industry;Economy;,Easy
123,Which Indian company is known for its financial and insurance services?,ICICI Bank,State Bank of India,HDFC Bank,Kotak Mahindra Bank,India,Industry;Economy;,Easy
124,Who is known as the 'Nightingale of India'?,Lata Mangeshkar,Asha Bhosle,Shreya Ghoshal,Sunidhi Chauhan,India,Music;,Easy
125,Which musical instrument is Pandit Ravi Shankar famous for playing?,Sitar,Tabla,Flute,Violin,India,Music;,Easy
126,"Who composed the Indian national anthem, ""Jana Gana Mana""?",Rabindranath Tagore,Bankim Chandra Chatterjee,A.R. Rahman,C. Ramachandra,India,Music;,Easy
127,What is the classical dance form of Tamil Nadu?,Bharatanatyam,Kathak,Kuchipudi,Odissi,India,Music;,Medium
128,Who is known as the 'Mozart of Madras'?,A.R. Rahman,Ilaiyaraaja,M.S. Viswanathan,R.D. Burman,India,Music;,Easy
129,"Which Indian musician is known for the song ""Mile Sur Mera Tumhara""?",Bhimsen Joshi,Jagjit Singh,Hariharan,L. Subramaniam,India,Music;,Medium
130,Who was the first Indian to receive the Grammy Award?,Pandit Ravi Shankar,Zakir Hussain,A.R. Rahman,Anoushka Shankar,India,Music;,Hard
131,Which famous Indian playback singer was awarded the Bharat Ratna in 2001?,Lata Mangeshkar,Kishore Kumar,Mukesh,Manna Dey,India,Music;,Medium
132,What is the traditional percussion instrument used in Carnatic music?,Mridangam,Tabla,Dholak,Pakhawaj,India,Music;,Hard
133,Who is known as the 'Queen of Ghazals'?,Begum Akhtar,Farida Khanum,Noor Jehan,Suraiya,India,Music;,Hard
134,Which Bollywood composer duo were known as 'Shankar-Jaikishan'?,Shankar-Jaikishan,Laxmikant-Pyarelal,Kalyanji-Anandji,Jatin-Lalit,India,Music;,Easy
135,"Who composed the music for the film ""Slumdog Millionaire""?",A.R. Rahman,Vishal-Shekhar,Pritam,Amit Trivedi,India,Music;,Easy
136,Which Indian classical vocalist is known as the 'Emperor of Music'?,M.S. Subbulakshmi,T.M. Krishna,Balamuralikrishna,Bhimsen Joshi,India,Music;,Medium
137,"Who sang the famous Bollywood song ""Kabhi Kabhi Mere Dil Mein""?",Mukesh,Kishore Kumar,Mohammad Rafi,Hemant Kumar,India,Music;,Easy
138,"Which Indian state is renowned for its folk music and dance form, Garba?",Gujarat,Maharashtra,Rajasthan,Punjab,India,Music;,Easy
139,Who is known as the 'Queen of Melody' in Indian playback singing?,Lata Mangeshkar,Asha Bhosle,Shreya Ghoshal,Alka Yagnik,India,Music;,Easy
140,Which Indian musical instrument is Bismillah Khan associated with?,Shehnai,Tabla,Sitar,Sarangi,India,Music;,Medium
141,Which Raga is often played in the early morning?,Bhairav,Yaman,Hamsadhwani,Darbari Kanada,India,Music;,Medium
142,Who was the first Indian music director to win an Oscar?,A.R. Rahman,Ravi Shankar,Satyajit Ray,Zubin Mehta,India,Music;,Medium
143,Who is known as the 'Pandit' of Tabla?,Zakir Hussain,Alla Rakha,Anindo Chatterjee,Swapan Chaudhuri,India,Music;,Medium
144,Who is known as the 'Missile Man of India'?,A.P.J. Abdul Kalam,Homi Bhabha,Vikram Sarabhai,Satish Dhawan,India,FamousPersonalities;History;,Easy
145,Who was the first woman to become the Prime Minister of India?,Indira Gandhi,Sarojini Naidu,Pratibha Patil,Sucheta Kriplani,India,FamousPersonalities;History;,Easy
146,Which Indian industrialist founded the Tata Group?,Jamshedji Tata,Dhirubhai Ambani,Ratan Tata,Ghanshyam Das Birla,India,FamousPersonalities;History;,Easy
147,Who is known as the 'Father of the Indian Nation'?,Mahatma Gandhi,Jawaharlal Nehru,Sardar Patel,B.R. Ambedkar,India,FamousPersonalities;History;,Easy
148,Who was the first Indian to win a Nobel Prize?,Rabindranath Tagore,C.V. Raman,Mother Teresa,Amartya Sen,India,FamousPersonalities;History;,Easy
149,Who is the founder of the Indian Space Research Organisation (ISRO)?,Vikram Sarabhai,Satish Dhawan,K. Sivan,A.P.J. Abdul Kalam,India,FamousPersonalities;History;,Easy
150,"Who is the co-founder of Infosys, one of India's largest IT companies?",Narayana Murthy,Azim Premji,Nandan Nilekani,Shiv Nadar,India,FamousPersonalities;History;,Easy
151,Which Indian cricketer is known as the 'Little Master'?,Sunil Gavaskar,Sachin Tendulkar,Rahul Dravid,Sourav Ganguly,India,FamousPersonalities;History;,Easy
152,Who is known as the 'Iron Lady of Manipur'?,Irom Sharmila,Mary Kom,Pramila Devi,Indira Gandhi,India,FamousPersonalities;History;,Medium
153,Who was the first Indian woman to climb Mount Everest?,Bachendri Pal,Arunima Sinha,Santosh Yadav,Premlata Agarwal,India,FamousPersonalities;History;,Medium
154,Who is the first Indian actor to win an Academy Award (Oscar)?,Bhanu Athaiya,Satyajit Ray,A.R. Rahman,Resul Pookutty,India,FamousPersonalities;History;,Hard
155,Who is the author of the famous book 'The God of Small Things'?,Arundhati Roy,Jhumpa Lahiri,Anita Desai,Vikram Seth,India,FamousPersonalities;History;,Medium
156,Who is known as the 'Tiger of Mysore'?,Tipu Sultan,Haider Ali,Krishnadevaraya,Shivaji Maharaj,India,FamousPersonalities;History;,Easy
157,Who is the founder of the 'Art of Living' foundation?,Sri Sri Ravi Shankar,Baba Ramdev,Osho,Sadhguru,India,FamousPersonalities;History;,Easy
158,Who is the first Indian to receive a Nobel Prize in Physics?,C.V. Raman,S.N. Bose,Homi Bhabha,Meghnad Saha,India,FamousPersonalities;History;,Medium
159,"Who is the chairman of the Adani Group, one of India's largest conglomerates?",Gautam Adani,Mukesh Ambani,Ratan Tata,Kumar Mangalam Birla,India,FamousPersonalities;History;,Easy
160,Who was the first woman President of India?,Pratibha Patil,Indira Gandhi,Sarojini Naidu,Sucheta Kriplani,India,FamousPersonalities;History;,Easy
161,Who is known as the 'Father of Indian Cinema'?,Dadasaheb Phalke,Raj Kapoor,Satyajit Ray,Guru Dutt,India,FamousPersonalities;History;,Medium
162,Who is the first Indian to travel in space?,Rakesh Sharma,Kalpana Chawla,Sunita Williams,Radhakrishnan,India,FamousPersonalities;History;,Medium
163,"Which Indian city is known as the ""City of Lakes""?",Udaipur,Nainital,Bhopal,Srinagar,India,Tourism;Geography;,Medium
164,Where is the famous Sun Temple located in India?,Konark,Khajuraho,Hampi,Mahabalipuram,India,Tourism;Geography;,Easy
165,What is the main attraction of Rann of Kutch in Gujarat?,White Desert,Sand Dunes,Tea Gardens,Wildlife Sanctuaries,India,Tourism;Geography;,Easy
166,Where is the Valley of Flowers National Park located?,Uttarakhand,Himachal Pradesh,Jammu & Kashmir,Sikkim,India,Tourism;Geography;,Medium
167,Which city is famous for its Golden Temple?,Amritsar,Varanasi,Jaipur,Ahmedabad,India,Tourism;Geography;,Easy
168,What is the capital city of the Union Territory of Andaman and Nicobar Islands?,Port Blair,Daman,Lakshadweep,Silvassa,India,Tourism;Geography;,Easy
169,Which Indian state is known for the festival of Bihu?,Assam,West Bengal,Odisha,Bihar,India,Tourism;Geography;,Medium
170,Which place in India is famous for its tea gardens?,Darjeeling,Ooty,Munnar,Coorg,India,Tourism;Geography;,Medium
171,Where is the UNESCO World Heritage site 'Ellora Caves' located?,Maharashtra,Karnataka,Madhya Pradesh,Andhra Pradesh,India,Tourism;Geography;,Easy
172,"Which Indian city is known as the ""Pink City""?",Jaipur,Jodhpur,Udaipur,Bikaner,India,Tourism;Geography;,Easy
173,Which Indian state is home to the Sundarbans mangrove forest?,West Bengal,Odisha,Andhra Pradesh,Tamil Nadu,India,Tourism;Geography;,Easy
174,What is the primary attraction of Hampi in Karnataka?,Ancient Ruins,Beaches,Backwaters,Wildlife,India,Tourism;Geography;,Easy
175,"Which Indian state is known as the ""Land of the Rising Sun""?",Arunachal Pradesh,Assam,Manipur,Sikkim,India,Tourism;Geography;,Medium
176,Which river flows through the city of Varanasi?,Ganges,Yamuna,Narmada,Godavari,India,Tourism;Geography;,Easy
177,Where is the Gateway of India located?,Mumbai,New Delhi,Kolkata,Chennai,India,Tourism;Geography;,Easy
178,Which fort in India is famous for the Palace of Mirrors?,Amber Fort,Mehrangarh Fort,Golconda Fort,Agra Fort,India,Tourism;Geography;,Medium
179,Which Indian state is famous for the Hornbill Festival?,Nagaland,Meghalaya,Mizoram,Tripura,India,Tourism;Geography;,Medium
180,"Who is known as the ""Father of the Indian Constitution""?",Dr. B.R. Ambedkar,Mahatma Gandhi,Jawaharlal Nehru,Sardar Patel,India,Civics;,Easy
181,What is the maximum strength of the Lok Sabha?,552,545,550,555,India,Civics;,Easy
182,Who appoints the Chief Justice of India?,The President,The Prime Minister,The Parliament,The Law Minister,India,Civics;,Medium
183,Which Article of the Indian Constitution deals with the Right to Equality?,Article 14,Article 21,Article 19,Article 32,India,Civics;,Medium
184,What is the term length for a member of the Rajya Sabha?,6 years,5 years,4 years,2 years,India,Civics;,Medium
185,Which constitutional body is responsible for the conduct of elections in India?,Election Commission of India,Supreme Court of India,Parliament,Union Public Service Commission,India,Civics;,Easy
186,What is the minimum age requirement to become a member of the Lok Sabha?,25 years,30 years,35 years,21 years,India,Civics;,Medium
187,Who was the first female Speaker of the Lok Sabha?,Meira Kumar,Sumitra Mahajan,Sarojini Naidu,Indira Gandhi,India,Civics;,Hard
188,What is the primary function of the Judiciary in India?,Interpret and uphold the Constitution,Make laws,Enforce laws,Execute policies,India,Civics;,Medium
189,Who is the head of the executive branch in India?,The President,The Prime Minister,The Chief Justice,The Governor,India,Civics;,Easy
190,Which body is responsible for approving the budget in India?,Parliament,Supreme Court,President,Election Commission,India,Civics;,Medium
191,Which fundamental right is guaranteed under Article 21 of the Indian Constitution?,Right to Life,Right to Freedom,Right to Equality,Right to Education,India,Civics;,Medium
192,How many members can the President nominate to the Rajya Sabha?,12,10,14,8,India,Civics;,Hard
193,Who presides over the joint sitting of the Parliament of India?,The Speaker of the Lok Sabha,The President,The Prime Minister,The Vice-President,India,Civics;,Hard
194,Which body advises the President on the appointment of judges to the Supreme Court?,Collegium,Cabinet,Parliament,Election Commission,India,Civics;,Hard
195,What is the role of the Finance Commission in India?,Recommend financial distribution between the Center and States,Audit government expenditures,Plan economic policies,Conduct monetary policy,India,Civics;,Medium
196,Who is the Supreme Commander of the Armed Forces in India?,The President,The Prime Minister,The Defense Minister,The Chief of Defense Staff,India,Civics;,Medium
197,What is the tenure of the Vice President of India?,5 years,4 years,6 years,7 years,India,Civics;,Easy
198,Which article in the Indian Constitution provides for the imposition of President's rule in a state?,Article 356,Article 352,Article 360,Article 370,India,Civics;,Hard
199,What is the main purpose of the Public Accounts Committee in the Parliament?,Examine government expenditure,Formulate government policies,Draft laws,Handle judiciary matters,India,Civics;,Hard
